time,framenumber,xposition,yposition,currentPatch,previousTrapeze,currentTrapeze,turnDirection,ongoingRewardedObject,ongoingRewardedDirection,Rewarded,typeOfTurn,nberOfConsecRewards,maxNberOfConsecRewards,nbQT_sinceLastReward,nbRewardsWhileDepleting,totalnberOfRewards
13.641,301,100,402,SW,S,W,270.0,['SW'],[270.0],1,gogd,1,0,0,1,1
13.999,310,100,325,SW,W,N,270.0,['SW'],[270.0],1,gogd,2,0,0,2,2
14.4,320,84,210,NW,S,W,270.0,['NW'],[270.0],1,gogd,3,0,0,1,3
14.881,332,96,113,NW,W,N,270.0,['NW'],[270.0],1,gogd,4,0,0,2,4
15.802,355,189,110,NW,N,E,270.0,['NW'],[270.0],1,gogd,5,0,0,3,5
17.722,403,185,221,NW,E,S,270.0,['NW'],[270.0],0,gogdnr,0,0,1,3,5
18.482,422,92,202,NW,S,W,270.0,['NW'],[270.0],1,gogd,1,0,0,4,6
19.53,448,97,116,NW,W,N,270.0,['NW'],[270.0],0,gogdnr,0,0,1,4,6
20.284,467,195,108,NW,N,E,270.0,['NW'],[270.0],1,gogd,1,0,0,5,7
20.805,480,327,109,NE,W,N,270.0,['NE'],[270.0],1,gogd,2,0,0,1,8
21.805,505,416,116,NE,N,E,270.0,['NE'],[270.0],1,gogd,3,0,0,2,9
22.685,527,407,210,NE,E,S,270.0,['NE'],[270.0],1,gogd,4,0,0,3,10
23.926,558,213,324,SW,N,E,270.0,['SW'],[270.0],1,gogd,5,0,0,1,11
25.005,585,193,424,SW,E,S,270.0,['SW'],[270.0],1,gogd,6,0,0,2,12
26.048,611,97,404,SW,S,W,270.0,['SW'],[270.0],1,gogd,7,0,0,3,13
26.924,633,99,333,SW,W,N,270.0,['SW'],[270.0],0,gogdnr,0,0,1,3,13
28.248,666,202,338,SW,N,E,270.0,['SW'],[270.0],1,gogd,1,0,0,4,14
30.569,724,320,331,SE,W,N,270.0,['SE'],[270.0],1,gogd,2,0,0,1,15
31.53,748,413,343,SE,N,E,270.0,['SE'],[270.0],1,gogd,3,0,0,2,16
32.53,773,400,416,SE,E,S,270.0,['SE'],[270.0],1,gogd,4,0,0,3,17
33.41,795,317,423,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,17
34.33,818,296,304,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,4,18
34.572,824,291,234,NE,S,W,270.0,['NE'],[270.0],1,gogd,2,0,0,1,19
35.494,847,325,111,NE,W,N,270.0,['NE'],[270.0],1,gogd,3,0,0,2,20
36.452,871,418,116,NE,N,E,270.0,['NE'],[270.0],1,gogd,4,0,0,3,21
37.694,902,413,213,NE,E,S,270.0,['NE'],[270.0],0,gogdnr,0,0,1,3,21
40.214,965,191,423,SW,E,S,270.0,['SW'],[270.0],1,gogd,1,0,0,1,22
41.256,991,97,397,SW,S,W,270.0,['SW'],[270.0],1,gogd,2,0,0,2,23
42.096,1012,99,331,SW,W,N,270.0,['SW'],[270.0],1,gogd,3,0,0,3,24
42.535,1023,79,221,NW,S,W,270.0,['NW'],[270.0],1,gogd,4,0,0,1,25
43.095,1037,104,110,NW,W,N,270.0,['NW'],[270.0],1,gogd,5,0,0,2,26
43.857,1056,190,112,NW,N,E,270.0,['NW'],[270.0],1,gogd,6,0,0,3,27
46.418,1120,416,345,SE,N,E,270.0,['SE'],[270.0],1,gogd,7,0,0,1,28
