time,framenumber,xposition,yposition,currentPatch,previousTrapeze,currentTrapeze,turnDirection,ongoingRewardedObject,ongoingRewardedDirection,Rewarded,typeOfTurn,nberOfConsecRewards,maxNberOfConsecRewards,nbQT_sinceLastReward,nbRewardsWhileDepleting,totalnberOfRewards
8.464,174,202,94,NW,E,N,90.0,['NW'],[90.0],1,gogd,1,0,0,1,1
8.624,178,204,95,NW,N,E,270.0,['NW'],[90.0],False,gobd,1,0,0,1,1
8.784,182,202,88,NW,E,N,90.0,['NW'],[90.0],1,gogd,2,0,0,2,2
8.944,186,220,108,NW,N,E,270.0,['NW'],[90.0],False,gobd,2,0,0,2,2
9.984,212,203,94,NW,E,N,90.0,['NW'],[90.0],1,gogd,3,0,0,3,3
14.507,325,322,326,SE,W,N,270.0,['SE'],[270.0],1,gogd,4,0,0,1,4
15.227,343,419,344,SE,N,E,270.0,['SE'],[270.0],1,gogd,5,0,0,2,5
16.029,363,400,418,SE,E,S,270.0,['SE'],[270.0],1,gogd,6,0,0,3,6
16.748,381,314,426,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,6
17.469,399,313,324,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,4,7
18.469,424,444,230,NE,S,E,90.0,['NE'],[90.0],1,gogd,2,0,0,1,8
19.11,440,408,106,NE,E,N,90.0,['NE'],[90.0],1,gogd,3,0,0,2,9
19.832,458,314,112,NE,N,W,90.0,['NE'],[90.0],1,gogd,4,0,0,3,10
20.669,479,302,231,NE,W,S,90.0,['NE'],[90.0],0,gogdnr,0,0,1,3,10
21.51,500,410,207,NE,S,E,90.0,['NE'],[90.0],1,gogd,1,0,0,4,11
22.391,522,403,108,NE,E,N,90.0,['NE'],[90.0],0,gogdnr,0,0,1,4,11
24.39,572,190,221,NW,E,S,270.0,['NW'],[270.0],1,gogd,1,0,0,1,12
25.433,598,56,249,NW,S,W,270.0,['NW'],[270.0],1,gogd,2,0,0,2,13
26.714,630,114,417,SW,W,S,90.0,['SW'],[90.0],1,gogd,3,0,0,1,14
27.475,649,200,419,SW,S,E,90.0,['SW'],[90.0],1,gogd,4,0,0,2,15
28.515,675,296,311,SE,W,N,270.0,['SE'],[270.0],1,gogd,5,0,0,1,16
28.996,687,414,338,SE,N,E,270.0,['SE'],[270.0],1,gogd,6,0,0,2,17
29.836,708,397,418,SE,E,S,270.0,['SE'],[270.0],1,gogd,7,0,0,3,18
30.594,727,306,427,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,18
31.356,746,318,329,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,4,19
32.197,767,428,329,SE,N,E,270.0,['SE'],[270.0],0,gogdnr,0,0,1,4,19
32.877,784,440,459,SE,E,S,270.0,['SE'],[270.0],1,gogd,1,0,0,5,20
33.558,801,314,424,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,5,20
34.399,822,303,309,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,6,21
35.279,844,194,222,NW,E,S,270.0,['NW'],[270.0],1,gogd,2,0,0,1,22
36.119,865,99,198,NW,S,W,270.0,['NW'],[270.0],1,gogd,3,0,0,2,23
36.96,886,99,112,NW,W,N,270.0,['NW'],[270.0],1,gogd,4,0,0,3,24
37.678,904,195,116,NW,N,E,270.0,['NW'],[270.0],0,gogdnr,0,0,1,3,24
38.561,926,189,224,NW,E,S,270.0,['NW'],[270.0],1,gogd,1,0,0,4,25
39.482,949,58,246,NW,S,W,270.0,['NW'],[270.0],0,gogdnr,0,0,1,4,25
40.443,973,121,421,SW,W,S,90.0,['SW'],[90.0],1,gogd,1,0,0,1,26
41.241,993,203,419,SW,S,E,90.0,['SW'],[90.0],1,gogd,2,0,0,2,27
42.923,1035,418,211,NE,S,E,90.0,['NE'],[90.0],1,gogd,3,0,0,1,28
43.803,1057,401,108,NE,E,N,90.0,['NE'],[90.0],1,gogd,4,0,0,2,29
44.602,1077,305,109,NE,N,W,90.0,['NE'],[90.0],1,gogd,5,0,0,3,30
45.245,1093,183,109,NW,E,N,90.0,['NW'],[90.0],1,gogd,6,0,0,1,31
46.084,1114,91,125,NW,N,W,90.0,['NW'],[90.0],1,gogd,7,0,0,2,32
46.885,1134,102,215,NW,W,S,90.0,['NW'],[90.0],1,gogd,8,0,0,3,33
47.604,1152,205,223,NW,S,E,90.0,['NW'],[90.0],0,gogdnr,0,0,1,3,33
48.325,1170,428,218,NE,S,E,90.0,['NE'],[90.0],1,gogd,1,0,0,1,34
49.087,1189,407,109,NE,E,N,90.0,['NE'],[90.0],1,gogd,2,0,0,2,35
49.887,1209,309,110,NE,N,W,90.0,['NE'],[90.0],1,gogd,3,0,0,3,36
50.327,1220,176,112,NW,E,N,90.0,['NW'],[90.0],1,gogd,4,0,0,1,37
51.127,1240,91,124,NW,N,W,90.0,['NW'],[90.0],1,gogd,5,0,0,2,38
51.968,1261,99,210,NW,W,S,90.0,['NW'],[90.0],1,gogd,6,0,0,3,39
52.451,1273,94,338,SW,N,W,90.0,['SW'],[90.0],1,gogd,7,0,0,1,40
53.207,1292,119,421,SW,W,S,90.0,['SW'],[90.0],1,gogd,8,0,0,2,41
54.049,1313,197,423,SW,S,E,90.0,['SW'],[90.0],1,gogd,9,0,0,3,42
55.01,1337,313,324,SE,W,N,270.0,['SE'],[270.0],1,gogd,10,0,0,1,43
56.489,1374,414,344,SE,N,E,270.0,['SE'],[270.0],1,gogd,11,0,0,2,44
57.371,1396,403,413,SE,E,S,270.0,['SE'],[270.0],1,gogd,12,0,0,3,45
58.251,1418,312,421,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,45
58.932,1435,309,328,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,4,46
59.692,1454,417,336,SE,N,E,270.0,['SE'],[270.0],0,gogdnr,0,0,1,4,46
60.611,1477,398,417,SE,E,S,270.0,['SE'],[270.0],1,gogd,1,0,0,5,47
61.333,1495,314,425,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,5,47
61.653,1503,186,423,SW,E,S,270.0,['SW'],[270.0],1,gogd,1,0,0,1,48
62.535,1525,105,410,SW,S,W,270.0,['SW'],[270.0],1,gogd,2,0,0,2,49
63.253,1543,102,334,SW,W,N,270.0,['SW'],[270.0],1,gogd,3,0,0,3,50
64.054,1563,203,339,SW,N,E,270.0,['SW'],[270.0],0,gogdnr,0,0,1,3,50
65.174,1591,301,445,SE,W,S,90.0,['SE'],[90.0],1,gogd,1,0,0,1,51
66.015,1612,408,409,SE,S,E,90.0,['SE'],[90.0],1,gogd,2,0,0,2,52
66.854,1633,403,327,SE,E,N,90.0,['SE'],[90.0],1,gogd,3,0,0,3,53
68.817,1682,180,110,NW,E,N,90.0,['NW'],[90.0],1,gogd,4,0,0,1,54
69.657,1703,97,119,NW,N,W,90.0,['NW'],[90.0],1,gogd,5,0,0,2,55
70.458,1723,98,218,NW,W,S,90.0,['NW'],[90.0],1,gogd,6,0,0,3,56
71.375,1746,197,216,NW,S,E,90.0,['NW'],[90.0],0,gogdnr,0,0,1,3,56
72.179,1766,326,109,NE,W,N,270.0,['NE'],[270.0],1,gogd,1,0,0,1,57
72.939,1785,409,113,NE,N,E,270.0,['NE'],[270.0],1,gogd,2,0,0,2,58
73.657,1803,405,210,NE,E,S,270.0,['NE'],[270.0],1,gogd,3,0,0,3,59
74.457,1823,313,213,NE,S,W,270.0,['NE'],[270.0],0,gogdnr,0,0,1,3,59
75.341,1845,329,107,NE,W,N,270.0,['NE'],[270.0],1,gogd,1,0,0,4,60
76.1,1864,411,113,NE,N,E,270.0,['NE'],[270.0],0,gogdnr,0,0,1,4,60
76.78,1881,412,220,NE,E,S,270.0,['NE'],[270.0],1,gogd,1,0,0,5,61
77.18,1891,413,340,SE,N,E,270.0,['SE'],[270.0],1,gogd,2,0,0,1,62
77.982,1911,400,416,SE,E,S,270.0,['SE'],[270.0],1,gogd,3,0,0,2,63
79.022,1937,310,421,SE,S,W,270.0,['SE'],[270.0],1,gogd,4,0,0,3,64
79.862,1958,314,333,SE,W,N,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,64
80.742,1980,418,344,SE,N,E,270.0,['SE'],[270.0],1,gogd,1,0,0,4,65
81.541,2000,396,419,SE,E,S,270.0,['SE'],[270.0],0,gogdnr,0,0,1,4,65
83.186,2041,100,396,SW,S,W,270.0,['SW'],[270.0],1,gogd,1,0,0,1,66
83.904,2059,101,335,SW,W,N,270.0,['SW'],[270.0],1,gogd,2,0,0,2,67
85.505,2099,325,110,NE,W,N,270.0,['NE'],[270.0],1,gogd,3,0,0,1,68
86.306,2119,417,122,NE,N,E,270.0,['NE'],[270.0],1,gogd,4,0,0,2,69
87.068,2138,408,213,NE,E,S,270.0,['NE'],[270.0],1,gogd,5,0,0,3,70
88.228,2167,308,209,NE,S,W,270.0,['NE'],[270.0],0,gogdnr,0,0,1,3,70
89.868,2208,89,117,NW,N,W,90.0,['NW'],[90.0],1,gogd,1,0,0,1,71
90.707,2229,104,211,NW,W,S,90.0,['NW'],[90.0],1,gogd,2,0,0,2,72
91.469,2248,201,218,NW,S,E,90.0,['NW'],[90.0],1,gogd,3,0,0,3,73
92.468,2273,323,102,NE,W,N,270.0,['NE'],[270.0],1,gogd,4,0,0,1,74
93.229,2292,407,113,NE,N,E,270.0,['NE'],[270.0],1,gogd,5,0,0,2,75
94.03,2312,410,220,NE,E,S,270.0,['NE'],[270.0],1,gogd,6,0,0,3,76
94.389,2321,414,347,SE,N,E,270.0,['SE'],[270.0],1,gogd,7,0,0,1,77
95.351,2345,399,418,SE,E,S,270.0,['SE'],[270.0],1,gogd,8,0,0,2,78
96.109,2364,310,423,SE,S,W,270.0,['SE'],[270.0],1,gogd,9,0,0,3,79
96.871,2383,315,331,SE,W,N,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,79
97.672,2403,430,327,SE,N,E,270.0,['SE'],[270.0],1,gogd,1,0,0,4,80
98.071,2413,430,444,SE,E,S,270.0,['SE'],[270.0],0,gogdnr,0,0,1,4,80
98.672,2428,297,430,SE,S,W,270.0,['SE'],[270.0],1,gogd,1,0,0,5,81
100.195,2466,97,347,SW,N,W,90.0,['SW'],[90.0],1,gogd,2,0,0,1,82
100.956,2485,120,419,SW,W,S,90.0,['SW'],[90.0],1,gogd,3,0,0,2,83
101.753,2505,204,420,SW,S,E,90.0,['SW'],[90.0],1,gogd,4,0,0,3,84
102.715,2529,306,316,SE,W,N,270.0,['SE'],[270.0],1,gogd,5,0,0,1,85
103.115,2539,417,345,SE,N,E,270.0,['SE'],[270.0],1,gogd,6,0,0,2,86
103.956,2560,400,414,SE,E,S,270.0,['SE'],[270.0],1,gogd,7,0,0,3,87
104.675,2578,310,420,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,87
105.356,2595,312,327,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,4,88
106.995,2636,416,344,SE,N,E,270.0,['SE'],[270.0],0,gogdnr,0,0,1,4,88
108.038,2662,402,414,SE,E,S,270.0,['SE'],[270.0],1,gogd,1,0,0,5,89
108.798,2681,308,418,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,5,89
110.518,2724,180,110,NW,E,N,90.0,['NW'],[90.0],1,gogd,1,0,0,1,90
111.439,2747,93,129,NW,N,W,90.0,['NW'],[90.0],1,gogd,2,0,0,2,91
112.2,2766,101,210,NW,W,S,90.0,['NW'],[90.0],1,gogd,3,0,0,3,92
114.123,2814,322,331,SE,W,N,270.0,['SE'],[270.0],1,gogd,4,0,0,1,93
114.921,2834,416,346,SE,N,E,270.0,['SE'],[270.0],1,gogd,5,0,0,2,94
115.722,2854,402,414,SE,E,S,270.0,['SE'],[270.0],1,gogd,6,0,0,3,95
116.481,2873,317,423,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,95
118.083,2913,182,112,NW,E,N,90.0,['NW'],[90.0],1,gogd,1,0,0,1,96
118.963,2935,95,124,NW,N,W,90.0,['NW'],[90.0],1,gogd,2,0,0,2,97
119.764,2955,93,214,NW,W,S,90.0,['NW'],[90.0],1,gogd,3,0,0,3,98
120.485,2973,202,338,SW,N,E,270.0,['SW'],[270.0],1,gogd,4,0,0,1,99
121.325,2994,183,424,SW,E,S,270.0,['SW'],[270.0],1,gogd,5,0,0,2,100
122.204,3016,107,408,SW,S,W,270.0,['SW'],[270.0],1,gogd,6,0,0,3,101
122.966,3035,101,329,SW,W,N,270.0,['SW'],[270.0],0,gogdnr,0,0,1,3,101
123.486,3048,204,339,SW,N,E,270.0,['SW'],[270.0],1,gogd,1,0,0,4,102
124.287,3068,193,428,SW,E,S,270.0,['SW'],[270.0],0,gogdnr,0,0,1,4,102
125.047,3087,105,411,SW,S,W,270.0,['SW'],[270.0],1,gogd,1,0,0,5,103
125.767,3105,106,326,SW,W,N,270.0,['SW'],[270.0],0,gogdnr,0,0,1,5,103
126.409,3121,98,195,NW,S,W,270.0,['NW'],[270.0],1,gogd,1,0,0,1,104
127.288,3143,103,113,NW,W,N,270.0,['NW'],[270.0],1,gogd,2,0,0,2,105
128.089,3163,198,115,NW,N,E,270.0,['NW'],[270.0],1,gogd,3,0,0,3,106
129.931,3209,316,427,SE,W,S,90.0,['SE'],[90.0],1,gogd,4,0,0,1,107
130.889,3233,408,408,SE,S,E,90.0,['SE'],[90.0],1,gogd,5,0,0,2,108
131.689,3253,400,327,SE,E,N,90.0,['SE'],[90.0],1,gogd,6,0,0,3,109
133.731,3304,96,118,NW,N,W,90.0,['NW'],[90.0],1,gogd,7,0,0,1,110
134.573,3325,105,214,NW,W,S,90.0,['NW'],[90.0],1,gogd,8,0,0,2,111
135.493,3348,199,212,NW,S,E,90.0,['NW'],[90.0],1,gogd,9,0,0,3,112
136.494,3373,320,107,NE,W,N,270.0,['NE'],[270.0],1,gogd,10,0,0,1,113
137.333,3394,411,118,NE,N,E,270.0,['NE'],[270.0],1,gogd,11,0,0,2,114
138.133,3414,405,216,NE,E,S,270.0,['NE'],[270.0],1,gogd,12,0,0,3,115
138.896,3433,313,214,NE,S,W,270.0,['NE'],[270.0],0,gogdnr,0,0,1,3,115
139.774,3455,327,109,NE,W,N,270.0,['NE'],[270.0],1,gogd,1,0,0,4,116
140.533,3474,409,114,NE,N,E,270.0,['NE'],[270.0],0,gogdnr,0,0,1,4,116
141.215,3491,413,218,NE,E,S,270.0,['NE'],[270.0],1,gogd,1,0,0,5,117
141.576,3500,418,342,SE,N,E,270.0,['SE'],[270.0],1,gogd,2,0,0,1,118
142.496,3523,402,414,SE,E,S,270.0,['SE'],[270.0],1,gogd,3,0,0,2,119
