time,xposition,yposition,framenumber
9.598,261.0,220.0,199.0
9.639,261.0,220.0,200.0
9.678,262.0,219.0,201.0
9.72,263.0,218.0,202.0
9.761,263.0,218.0,203.0
9.799,262.0,219.0,204.0
9.839,260.0,220.0,205.0
9.881,259.0,221.0,206.0
9.918,259.0,221.0,207.0
9.958,260.0,220.0,208.0
10.0,260.0,220.0,209.0
10.04,260.0,220.0,210.0
10.08,260.0,220.0,211.0
10.121,258.0,221.0,212.0
10.158,259.0,220.0,213.0
10.2,259.0,220.0,214.0
10.241,260.0,220.0,215.0
10.282,260.0,220.0,216.0
10.321,260.0,219.0,217.0
10.36,260.0,220.0,218.0
10.4,261.0,219.0,219.0
10.44,260.0,219.0,220.0
10.48,261.0,218.0,221.0
10.52,261.0,218.0,222.0
10.561,261.0,219.0,223.0
10.6,261.0,219.0,224.0
10.64,260.0,219.0,225.0
10.679,260.0,219.0,226.0
10.72,260.0,219.0,227.0
10.762,260.0,220.0,228.0
10.8,258.0,221.0,229.0
10.84,256.0,222.0,230.0
10.88,255.0,222.0,231.0
10.921,254.0,222.0,232.0
10.96,252.0,222.0,233.0
11.002,251.0,221.0,234.0
11.042,250.0,222.0,235.0
11.082,248.0,223.0,236.0
11.121,249.0,221.0,237.0
11.162,249.0,222.0,238.0
11.201,249.0,221.0,239.0
11.243,248.0,222.0,240.0
11.282,247.0,222.0,241.0
11.322,247.0,220.0,242.0
11.362,247.0,218.0,243.0
11.401,247.0,216.0,244.0
11.442,247.0,215.0,245.0
11.481,247.0,214.0,246.0
11.523,247.0,213.0,247.0
11.562,246.0,213.0,248.0
11.601,245.0,214.0,249.0
11.641,245.0,213.0,250.0
11.681,243.0,215.0,251.0
11.723,242.0,216.0,252.0
11.762,241.0,218.0,253.0
11.802,241.0,217.0,254.0
11.841,241.0,218.0,255.0
11.881,242.0,218.0,256.0
11.921,242.0,217.0,257.0
11.961,242.0,217.0,258.0
12.001,241.0,217.0,259.0
12.042,241.0,217.0,260.0
12.081,241.0,216.0,261.0
12.121,241.0,217.0,262.0
12.162,241.0,216.0,263.0
12.202,241.0,216.0,264.0
12.242,241.0,215.0,265.0
12.282,242.0,215.0,266.0
12.321,242.0,215.0,267.0
12.359,242.0,215.0,268.0
12.4,242.0,214.0,269.0
12.441,243.0,215.0,270.0
12.479,243.0,216.0,271.0
12.522,243.0,218.0,272.0
12.56,243.0,221.0,273.0
12.6,243.0,222.0,274.0
12.642,242.0,225.0,275.0
12.684,242.0,226.0,276.0
12.72,244.0,227.0,277.0
12.762,249.0,226.0,278.0
12.8,254.0,224.0,279.0
12.84,258.0,222.0,280.0
12.883,265.0,217.0,281.0
12.923,270.0,213.0,282.0
12.962,272.0,210.0,283.0
13.002,273.0,208.0,284.0
13.042,271.0,209.0,285.0
13.082,268.0,211.0,286.0
13.123,262.0,215.0,287.0
13.164,255.0,217.0,288.0
13.203,247.0,220.0,289.0
13.242,242.0,222.0,290.0
13.283,235.0,224.0,291.0
13.324,229.0,223.0,292.0
13.363,222.0,222.0,293.0
13.402,214.0,223.0,294.0
13.443,209.0,223.0,295.0
13.482,204.0,224.0,296.0
13.521,199.0,225.0,297.0
