time,framenumber,xposition,yposition,currentPatch,previousTrapeze,currentTrapeze,turnDirection,ongoingRewardedObject,ongoingRewardedDirection,Rewarded,typeOfTurn,nberOfConsecRewards,maxNberOfConsecRewards,nbQT_sinceLastReward,nbRewardsWhileDepleting,totalnberOfRewards
8.24,166,284,246,NE,S,W,270.0,['NE'],[270.0],1,gogd,1,0,0,1,1
8.28,167,288,243,NE,W,S,90.0,['NE'],[270.0],False,gobd,1,0,0,1,1
8.321,168,287,242,NE,S,W,270.0,['NE'],[270.0],1,gogd,2,0,0,2,2
13.562,299,193,224,NW,E,S,270.0,['NW'],[270.0],1,gogd,3,0,0,1,3
14.683,327,75,317,SW,N,W,90.0,['SW'],[90.0],1,gogd,4,0,0,1,4
15.445,346,79,441,SW,W,S,90.0,['SW'],[90.0],1,gogd,5,0,0,2,5
17.084,387,204,429,SW,S,E,90.0,['SW'],[90.0],1,gogd,6,0,0,3,6
18.605,425,200,331,SW,E,N,90.0,['SW'],[90.0],0,gogdnr,0,0,1,3,6
20.924,483,197,216,NW,S,E,90.0,['NW'],[90.0],1,gogd,1,0,0,1,7
22.29,517,196,101,NW,E,N,90.0,['NW'],[90.0],1,gogd,2,0,0,2,8
23.047,536,94,119,NW,N,W,90.0,['NW'],[90.0],1,gogd,3,0,0,3,9
24.166,564,102,213,NW,W,S,90.0,['NW'],[90.0],0,gogdnr,0,0,1,3,9
25.249,591,205,220,NW,S,E,90.0,['NW'],[90.0],1,gogd,1,0,0,4,10
25.608,600,291,247,NE,W,S,90.0,['NE'],[90.0],1,gogd,2,0,0,1,11
26.531,623,420,219,NE,S,E,90.0,,[90.0],False,bogd,2,0,0,0,11
27.77,654,408,108,NE,E,N,90.0,,[90.0],False,bogd,2,0,0,0,11
29.129,688,439,90,NE,N,E,270.0,,[90.0],False,bobd,2,0,0,0,11
30.05,711,406,209,NE,E,S,270.0,,[90.0],False,bobd,2,0,0,0,11
33.653,801,190,424,SW,E,S,270.0,['SW'],[90.0],False,gobd,2,0,0,0,11
34.892,832,103,406,SW,S,W,270.0,['SW'],[90.0],False,gobd,2,0,0,0,11
35.975,859,100,341,SW,W,N,270.0,['SW'],[90.0],False,gobd,2,0,0,0,11
37.016,885,221,320,SW,N,E,270.0,['SW'],[90.0],False,gobd,2,0,0,0,11
37.295,892,298,308,SE,W,N,270.0,['SW'],[90.0],False,bobd,2,0,0,0,11
38.137,913,415,336,SE,N,E,270.0,['SW'],[90.0],False,bobd,2,0,0,0,11
39.218,940,401,416,SE,E,S,270.0,['SW'],[90.0],False,bobd,2,0,0,0,11
40.897,982,287,453,SE,S,W,270.0,['SW'],[90.0],False,bobd,2,0,0,0,11
42.698,1027,61,456,SW,S,W,270.0,['SW'],[90.0],False,gobd,2,0,0,0,11
42.858,1031,68,452,SW,W,S,90.0,['SW'],[90.0],1,gogd,3,0,0,1,12
42.939,1033,64,443,SW,S,W,270.0,['SW'],[90.0],False,gobd,3,0,0,1,12
43.779,1054,70,307,SW,W,N,270.0,['SW'],[90.0],False,gobd,3,0,0,1,12
44.339,1068,98,204,NW,S,W,270.0,['NW'],[270.0],1,gogd,4,0,0,1,13
45.341,1093,102,113,NW,W,N,270.0,['NW'],[270.0],1,gogd,5,0,0,2,14
46.419,1120,186,113,NW,N,E,270.0,['NW'],[270.0],1,gogd,6,0,0,3,15
47.942,1158,189,217,NW,E,S,270.0,['NW'],[270.0],0,gogdnr,0,0,1,3,15
49.261,1191,217,315,SW,N,E,270.0,['SW'],[270.0],1,gogd,1,0,0,1,16
50.222,1215,314,429,SE,W,S,90.0,['SE'],[90.0],1,gogd,2,0,0,1,17
51.26,1241,408,408,SE,S,E,90.0,['SE'],[90.0],1,gogd,3,0,0,2,18
52.504,1272,407,332,SE,E,N,90.0,['SE'],[90.0],1,gogd,4,0,0,3,19
53.424,1295,306,334,SE,N,W,90.0,['SE'],[90.0],0,gogdnr,0,0,1,3,19
54.425,1320,318,424,SE,W,S,90.0,['SE'],[90.0],1,gogd,1,0,0,4,20
55.584,1349,408,413,SE,S,E,90.0,['SE'],[90.0],0,gogdnr,0,0,1,4,20
57.025,1385,410,335,SE,E,N,90.0,['SE'],[90.0],1,gogd,1,0,0,5,21
57.905,1407,289,310,SE,N,W,90.0,['SE'],[90.0],0,gogdnr,0,0,1,5,21
59.867,1456,183,113,NW,E,N,90.0,['NW'],[90.0],1,gogd,1,0,0,1,22
60.945,1483,93,125,NW,N,W,90.0,['NW'],[90.0],1,gogd,2,0,0,2,23
61.909,1507,101,205,NW,W,S,90.0,['NW'],[90.0],1,gogd,3,0,0,3,24
63.989,1559,192,217,NW,S,E,90.0,['NW'],[90.0],0,gogdnr,0,0,1,3,24
65.31,1592,185,111,NW,E,N,90.0,['NW'],[90.0],1,gogd,1,0,0,4,25
66.27,1616,89,121,NW,N,W,90.0,['NW'],[90.0],0,gogdnr,0,0,1,4,25
