time,xposition,yposition,framenumber
1.586,255.0,255.0,0.0
1.631,239.0,125.0,1.0
1.662,238.0,125.0,2.0
1.702,240.0,124.0,3.0
1.745,241.0,121.0,4.0
1.785,241.0,118.0,5.0
1.823,241.0,117.0,6.0
1.866,241.0,115.0,7.0
1.905,241.0,114.0,8.0
1.945,241.0,113.0,9.0
1.984,242.0,111.0,10.0
2.023,242.0,110.0,11.0
2.065,241.0,109.0,12.0
2.104,241.0,107.0,13.0
2.144,240.0,107.0,14.0
2.184,239.0,106.0,15.0
2.224,238.0,106.0,16.0
2.264,236.0,105.0,17.0
2.304,234.0,106.0,18.0
2.344,234.0,109.0,19.0
2.386,232.0,109.0,20.0
2.425,227.0,109.0,21.0
2.464,224.0,109.0,22.0
2.503,219.0,108.0,23.0
2.546,215.0,108.0,24.0
2.584,212.0,110.0,25.0
2.624,208.0,111.0,26.0
2.665,206.0,112.0,27.0
2.705,202.0,113.0,28.0
2.745,202.0,115.0,29.0
2.784,199.0,115.0,30.0
2.822,198.0,116.0,31.0
2.864,194.0,116.0,32.0
2.905,192.0,117.0,33.0
2.945,194.0,118.0,34.0
2.985,187.0,117.0,35.0
3.026,187.0,117.0,36.0
3.064,188.0,117.0,37.0
3.104,189.0,117.0,38.0
3.146,189.0,118.0,39.0
3.185,191.0,119.0,40.0
3.234,192.0,120.0,41.0
3.264,190.0,122.0,42.0
3.304,187.0,124.0,43.0
3.345,186.0,126.0,44.0
3.384,184.0,129.0,45.0
3.423,186.0,131.0,46.0
3.468,187.0,133.0,47.0
3.507,187.0,136.0,48.0
3.547,188.0,138.0,49.0
3.585,190.0,141.0,50.0
3.624,192.0,144.0,51.0
3.664,191.0,148.0,52.0
3.705,193.0,150.0,53.0
3.746,194.0,153.0,54.0
3.785,195.0,156.0,55.0
3.825,196.0,159.0,56.0
3.863,198.0,161.0,57.0
3.902,200.0,163.0,58.0
3.945,201.0,167.0,59.0
3.986,202.0,169.0,60.0
4.025,205.0,170.0,61.0
4.065,206.0,170.0,62.0
4.104,209.0,168.0,63.0
4.145,212.0,166.0,64.0
4.185,216.0,162.0,65.0
4.226,219.0,159.0,66.0
4.264,221.0,157.0,67.0
4.305,220.0,159.0,68.0
4.345,221.0,160.0,69.0
4.382,222.0,160.0,70.0
4.425,222.0,160.0,71.0
4.467,224.0,158.0,72.0
4.506,227.0,154.0,73.0
4.545,230.0,149.0,74.0
4.585,233.0,143.0,75.0
4.625,233.0,144.0,76.0
4.664,233.0,145.0,77.0
4.704,233.0,146.0,78.0
4.746,229.0,157.0,79.0
4.784,227.0,164.0,80.0
4.825,226.0,167.0,81.0
4.862,226.0,167.0,82.0
4.904,227.0,167.0,83.0
4.947,227.0,168.0,84.0
4.985,227.0,170.0,85.0
5.025,228.0,170.0,86.0
5.065,228.0,170.0,87.0
5.104,228.0,169.0,88.0
5.146,228.0,169.0,89.0
5.185,228.0,169.0,90.0
5.225,228.0,169.0,91.0
5.268,229.0,169.0,92.0
5.306,229.0,170.0,93.0
5.346,230.0,169.0,94.0
5.386,231.0,168.0,95.0
5.428,231.0,169.0,96.0
5.466,232.0,171.0,97.0
5.506,232.0,170.0,98.0
5.546,233.0,170.0,99.0
5.587,235.0,166.0,100.0
5.626,235.0,166.0,101.0
5.665,236.0,162.0,102.0
5.707,237.0,161.0,103.0
5.745,237.0,165.0,104.0
5.787,237.0,166.0,105.0
5.826,237.0,168.0,106.0
5.865,236.0,170.0,107.0
5.907,236.0,172.0,108.0
5.947,236.0,173.0,109.0
5.987,236.0,174.0,110.0
6.027,236.0,175.0,111.0
6.064,236.0,175.0,112.0
6.107,235.0,175.0,113.0
6.146,235.0,177.0,114.0
6.186,235.0,177.0,115.0
6.226,235.0,177.0,116.0
6.266,234.0,177.0,117.0
6.306,234.0,176.0,118.0
6.346,235.0,174.0,119.0
6.388,235.0,176.0,120.0
6.428,234.0,175.0,121.0
6.469,234.0,172.0,122.0
6.507,232.0,175.0,123.0
6.547,231.0,175.0,124.0
6.587,230.0,173.0,125.0
6.626,229.0,173.0,126.0
6.667,229.0,172.0,127.0
6.708,228.0,172.0,128.0
6.747,227.0,173.0,129.0
6.786,227.0,172.0,130.0
6.826,226.0,172.0,131.0
6.868,226.0,169.0,132.0
6.907,227.0,166.0,133.0
6.944,227.0,167.0,134.0
6.986,227.0,167.0,135.0
7.028,226.0,169.0,136.0
7.066,227.0,167.0,137.0
7.109,226.0,168.0,138.0
7.149,226.0,168.0,139.0
7.186,222.0,173.0,140.0
7.227,220.0,174.0,141.0
7.267,216.0,178.0,142.0
7.308,217.0,173.0,143.0
7.349,216.0,171.0,144.0
7.387,216.0,168.0,145.0
7.428,221.0,158.0,146.0
7.466,222.0,156.0,147.0
7.505,221.0,158.0,148.0
7.548,222.0,157.0,149.0
7.585,221.0,160.0,150.0
7.628,222.0,159.0,151.0
7.667,224.0,158.0,152.0
7.707,225.0,156.0,153.0
7.747,227.0,154.0,154.0
7.784,229.0,151.0,155.0
7.829,232.0,146.0,156.0
7.867,234.0,143.0,157.0
7.907,235.0,142.0,158.0
7.946,230.0,157.0,159.0
7.987,228.0,162.0,160.0
8.028,228.0,164.0,161.0
8.064,228.0,166.0,162.0
8.107,228.0,166.0,163.0
8.147,228.0,168.0,164.0
8.186,227.0,172.0,165.0
8.227,228.0,173.0,166.0
8.266,228.0,177.0,167.0
8.309,227.0,181.0,168.0
8.347,228.0,184.0,169.0
8.387,228.0,185.0,170.0
8.426,229.0,191.0,171.0
8.468,230.0,189.0,172.0
8.505,230.0,192.0,173.0
8.547,231.0,193.0,174.0
8.586,231.0,194.0,175.0
8.627,232.0,196.0,176.0
8.667,233.0,199.0,177.0
8.707,235.0,197.0,178.0
8.747,237.0,201.0,179.0
8.788,238.0,204.0,180.0
8.828,240.0,205.0,181.0
8.865,241.0,208.0,182.0
8.905,243.0,207.0,183.0
8.945,245.0,210.0,184.0
8.986,247.0,210.0,185.0
9.028,249.0,212.0,186.0
9.068,250.0,213.0,187.0
9.108,252.0,215.0,188.0
9.147,253.0,212.0,189.0
9.187,255.0,213.0,190.0
9.228,257.0,212.0,191.0
9.269,258.0,210.0,192.0
9.308,259.0,204.0,193.0
9.348,261.0,202.0,194.0
9.388,263.0,204.0,195.0
9.427,265.0,205.0,196.0
9.469,267.0,205.0,197.0
9.508,269.0,205.0,198.0
9.551,271.0,205.0,199.0
9.588,273.0,206.0,200.0
